Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
RTL9	"KIAA1318, Mar9, Mart9, RGAG1, SIRH10"	ENSG00000243978	"Retrotransposon Gag like 9"	Q8NET4	X	110358848-110456334	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"testis: 7.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 2.5;Excitatory neurons: 3.3;Inhibitory neurons: 4.7;Oligodendrocyte precursor cells: 4.2;Sertoli cells: 2.7"	"Cell type enhanced"	"Detected in many"		"choroid plexus epithelial cell: 47.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	12	"Rhabdoid: 18.5"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Testis - Sertoli cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			HPA001242	Enhanced						NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 65: Neurons - Synaptic function"	3			"HPA001242: AB_1079804"								"potential prognostic favorable (2.13e-4)"																							
RTP5	"C2orf85, CXXC11, FLJ33590, Z3CXXC5"	ENSG00000188011	"Receptor transporter protein 5 (putative)"	Q14D33	2	241869600-241873823	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	35	"brain: 49.1"	"Cell type enhanced"	"Detected in some"		"Inhibitory neurons: 3.9;Late spermatids: 6.0;Oligodendrocyte precursor cells: 16.5"	"Cell type enhanced"	"Detected in many"		"thalamic excitatory: 26.0"	"Cancer enriched"	"Detected in single"	12	"Glioblastoma Multiforme (TCGA): 1.1"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Prostate - T-cells"					"Low region specificity"	"Detected in all"			HPA050902	Enhanced						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 29: Forebrain - Mixed function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	49			"HPA050902: AB_2681268"							"unprognostic (4.09e-1)"	"potential prognostic favorable (3.21e-4)"																							
RUFY4	"FLJ46536, ZFYVE31"	ENSG00000188282	"RUN and FYVE domain containing 4"	Q6ZNE9	2	218034960-218090584	"Predicted intracellular proteins"	Autophagy			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 1.5;lymphoid tissue: 2.1"	"Group enriched"	"Detected in some"	4	"Langerhans cells: 5.4;Oligodendrocyte precursor cells: 12.3"	"Group enriched"	"Detected in some"	5	"hippocampal CA1-3: 8.0;oligodendrocyte precursor cell: 18.7"	"Low cancer specificity"	"Detected in some"			"Group enriched"	"Detected in some"	5	"cerebral cortex: 2.9;hippocampal formation: 1.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - T-cells, Thyroid gland - T-cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA037980	Uncertain						NA	NA				"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 29: Forebrain - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	21			"HPA037980: AB_10672501"			"unprognostic (9.92e-3)"	"unprognostic (1.52e-3)"											"unprognostic (1.29e-1)"		"unprognostic (1.29e-1)"		"unprognostic (2.65e-1)"		"unprognostic (5.03e-3)"										"unprognostic (8.77e-2)"
RWDD2B	"C21orf6, GL011"	ENSG00000156253	"RWD domain containing 2B"	P57060	21	29004384-29019360	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in some"			"Cell type enhanced"	"Detected in many"		"Spermatocytes: 39.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 3.1"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA018316	Uncertain						NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 3: Non-specific - Unknown function"	"Cluster 37: Neurons - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 32: Smooth muscle cells - Muscle contraction"	13			"HPA018316: AB_1845702"	"unprognostic (3.56e-2)"	"potential prognostic unfavorable (2.16e-4)"	"unprognostic (1.90e-1)"	"unprognostic (2.05e-2)"		"unprognostic (1.34e-1)"	"unprognostic (2.49e-1)"	"unprognostic (4.75e-3)"			"unprognostic (1.58e-2)"		"unprognostic (1.45e-1)"		"unprognostic (2.08e-2)"		"unprognostic (2.39e-1)"	"unprognostic (8.28e-2)"	"unprognostic (1.87e-2)"	"unprognostic (3.99e-3)"	"unprognostic (9.25e-2)"		"unprognostic (3.07e-1)"	"unprognostic (2.76e-1)"		"unprognostic (3.52e-2)"	"unprognostic (1.38e-1)"			"unprognostic (1.13e-1)"	"unprognostic (3.46e-2)"
RXFP1	"LGR7, RXFPR1"	ENSG00000171509	"Relaxin family peptide receptor 1"	Q9HBX9	4	158315311-158653372	"G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 13.7;endometrium 1: 6.0"	"Group enriched"	"Detected in some"	6	"Excitatory neurons: 161.9;Glandular and luminal cells: 162.0"	"Group enriched"	"Detected in many"	4	"deep-layer corticothalamic and 6b: 386.5;deep-layer intratelencephalic: 310.1;eccentric medium spiny neuron: 431.9"	"Cancer enriched"	"Detected in some"	5	"Uterine Corpus Endometrial Carcinoma (TCGA): 6.4"	"Group enriched"	"Detected in many"	5	"basal ganglia: 12.0;cerebral cortex: 14.4;hypothalamus: 5.2;white matter: 10.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"liver cancer: 6.6;ovarian cancer: 23.1;Uterine cancer: 13.5"	"Adrenal gland - Fibroblasts, Kidney - Podocytes"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"cerebral cortex: 14.4;hippocampal formation: 9.3"	HPA027067	Approved						NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"				"HPA027067: AB_10602127"								"unprognostic (1.36e-1)"			"validated prognostic favorable (8.81e-7)"	"validated prognostic favorable (4.34e-4)"					"potential prognostic favorable (7.58e-4)"		"unprognostic (2.63e-1)"												"unprognostic (5.68e-2)"
SAG	"ARRESTIN, RP47"	ENSG00000130561	"S-antigen visual arrestin"	P10523	2	233307816-233347055	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Congenital stationary night blindness, Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	379	"retina: 1421.5"	"Cell type enriched"	"Detected in some"	5	"Rod photoreceptor cells: 5787.2"	"Cell type enhanced"	"Detected in single"		"medium spiny neuron: 1.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in some"		"basal ganglia: 5.2"	HPA004946	Enhanced						NA	NA				"Cluster 76: Retina - Visual perception"			"Cluster 66: Photoreceptor cells - Visual perception"	2			"HPA004946: AB_2667304"																							"unprognostic (1.45e-2)"								
SALL3	ZNF796	ENSG00000256463	"Spalt like transcription factor 3"	Q9BXA9	18	78979818-79002677	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 9.0;kidney: 3.1;prostate: 5.7;vagina: 7.4"	"Group enriched"	"Detected in some"	4	"Astrocytes: 24.2;Bipolar cells: 13.3;Cone photoreceptor cells: 32.3;Horizontal cells: 12.0;Oligodendrocyte precursor cells: 19.8;Oocytes: 20.6"	"Cell type enhanced"	"Detected in some"		"astrocyte: 63.0;ependymal cell: 40.4;mammillary body: 37.5;oligodendrocyte precursor cell: 77.5"	"Cancer enriched"	"Detected in some"	8	"Glioblastoma Multiforme (TCGA): 8.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Intercalated cells, Prostate - Prostate basal glandular cells, Testis - Spermatogonia"	"Region enriched"	"Detected in many"	4	"olfactory bulb: 12.5"	"Low region specificity"	"Detected in many"			HPA016656	Uncertain						NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 66: Photoreceptor cells - Visual perception"				"HPA016656: AB_1856546"							"unprognostic (1.26e-1)"	"unprognostic (2.02e-2)"		"unprognostic (1.13e-1)"														"unprognostic (3.41e-1)"					"unprognostic (3.41e-1)"		
SCG3	"FLJ90833, SgIII"	ENSG00000104112	"Secretogranin III"	Q8WXD2	15	51681492-51721026	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 161.3;pituitary gland: 38.3;retina: 55.0"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 75.2;Bipolar cells: 116.6;Cone photoreceptor cells: 249.8;Enteroendocrine cells: 63.2;Horizontal cells: 90.6;Inhibitory neurons: 61.3;Oligodendrocyte precursor cells: 59.4;Pancreatic endocrine cells: 159.6;Rod photoreceptor cells: 82.1"	"Cell type enhanced"	"Detected in all"		"bergmann glia: 499.0"	"Group enriched"	"Detected in many"	10	"Glioblastoma Multiforme (TCGA): 72.3;Kidney Chromophobe (TCGA): 66.8;Pancreatic Adenocarcinoma (TCGA): 23.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"Neuroblastoma: 62.1;thyroid cancer: 100.9"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Spermatocytes, Thyroid gland - Parafollicular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006880, CAB033274, HPA053715"	Enhanced	Supported	Supported	Vesicles	"Secreted in brain"	"No annotated function"	NA	NA		4200000		"Cluster 17: Neuronal - Synaptic function"	"Cluster 53: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 66: Photoreceptor cells - Visual perception"	1	Vesicles		"CAB033274: AB_2302033, HPA006880: AB_1079898, HPA053715: AB_2682239"		"unprognostic (5.18e-2)"	"unprognostic (2.81e-2)"			"unprognostic (1.32e-1)"	"unprognostic (4.39e-2)"	"unprognostic (1.31e-2)"		"unprognostic (4.68e-2)"	"unprognostic (7.04e-3)"					"unprognostic (1.78e-2)"	"unprognostic (5.50e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.64e-2)"	"unprognostic (3.21e-2)"		"unprognostic (9.52e-3)"	"unprognostic (2.61e-2)"			"unprognostic (7.30e-2)"	"unprognostic (4.53e-1)"	"unprognostic (3.00e-1)"	"unprognostic (2.35e-1)"		"unprognostic (5.42e-3)"
SCGB2B2	"SCGB4A2, SCGBL"	ENSG00000205209	"Secretoglobin family 2B member 2"	Q4G0G5	19	34590644-34677159	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"pancreas: 8.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 60.4;Excitatory neurons: 31.7;Inhibitory neurons: 43.4;Late spermatids: 32.9;Microglial cells: 17.0;Oligodendrocyte precursor cells: 49.5;Oligodendrocytes: 96.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Skin - Eccrine sweat gland cells, Testis - Late spermatids"									HPA046806	Uncertain				"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 6: Non-specific - Immune response"	"Cluster 4: Non-specific - Transcription"	"Cluster 8: Neurons - Neuronal signaling"	1			"HPA046806: AB_10962373"		"unprognostic (6.46e-3)"						"unprognostic (9.87e-2)"																							
SCN1A	"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI"	ENSG00000144285	"Sodium voltage-gated channel alpha subunit 1"	P35498	2	165984641-166149214	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Autism, Autism spectrum disorder, Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 11.9;retina: 3.3"	"Group enriched"	"Detected in some"	10	"Excitatory neurons: 396.7;Inhibitory neurons: 474.6;Oligodendrocyte precursor cells: 649.5"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in single"	7	"Glioblastoma Multiforme (TCGA): 2.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA078664			Supported	"Nucleoplasm,Nuclear bodies,Plasma membrane"			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 8: Neurons - Neuronal signaling"	1	"Nucleoplasm, Plasma membrane"	"Nuclear bodies"	"HPA078664: AB_2686888"							"unprognostic (4.38e-1)"	"unprognostic (7.03e-3)"																							
SCN2A	"HBSCI, HBSCII, Nav1.2, SCN2A1, SCN2A2"	ENSG00000136531	"Sodium voltage-gated channel alpha subunit 2"	Q99250	2	165194993-165392310	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	17	"brain: 70.0"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 425.4;Inhibitory neurons: 349.2;Oligodendrocyte precursor cells: 231.1"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 2.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 5.8"	"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Pituitary gland - Lactotropes, Testis - Peritubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB022567	Enhanced						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 14: Neurons - Synaptic function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"	4			"CAB022567: "			"unprognostic (5.41e-1)"				"unprognostic (3.49e-1)"	"unprognostic (1.29e-3)"		"unprognostic (1.74e-1)"			"unprognostic (1.38e-1)"						"unprognostic (1.99e-1)"				"unprognostic (1.25e-1)"								
SCN3A	Nav1.3	ENSG00000153253	"Sodium voltage-gated channel alpha subunit 3"	Q9NY46	2	165087526-165204050	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 8.9;lymphoid tissue: 3.9"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 103.5;Excitatory neurons: 219.5;Inhibitory neurons: 161.8;Oligodendrocyte precursor cells: 336.3"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 3.1"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	30	"memory B-cell: 13.3;naive B-cell: 15.4"	"Lineage enriched"	"Detected in single"	32	"B-cells: 15.4"	"Cancer enhanced"	"Detected in many"		"lung cancer: 9.7"	"Pituitary gland - Lactotropes, Spleen - B-cells (Spleen), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA035396	Uncertain						NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 1: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	1			"HPA035396: AB_2674607"			"unprognostic (5.07e-3)"			"unprognostic (3.91e-2)"	"unprognostic (1.28e-1)"	"potential prognostic favorable (3.01e-4)"									"unprognostic (1.31e-2)"									"unprognostic (4.18e-1)"					
SCN8A	"CerIII, CIAT, MED, NaCh6, Nav1.6, PN4"	ENSG00000196876	"Sodium voltage-gated channel alpha subunit 8"	Q9UQD0	12	51590266-51812864	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 17.5;pituitary gland: 6.5;retina: 7.6"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 325.4;Inhibitory neurons: 269.0;Oligodendrocyte precursor cells: 98.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Hepatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022169, HPA043937, HPA073590"			Approved	"Vesicles,Plasma membrane,Cell Junctions"			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 8: Neurons - Neuronal signaling"	1	"Plasma membrane"	"Vesicles, Cell Junctions"	"CAB022169: , HPA043937: , HPA073590: "			"unprognostic (1.37e-1)"			"unprognostic (2.40e-1)"	"unprognostic (7.00e-2)"	"potential prognostic favorable (2.44e-4)"					"unprognostic (7.21e-2)"		"unprognostic (8.57e-3)"		"unprognostic (3.78e-1)"		"potential prognostic favorable (3.92e-4)"	"unprognostic (1.68e-2)"			"unprognostic (2.49e-1)"			"unprognostic (2.75e-1)"		"unprognostic (2.10e-1)"	"unprognostic (2.70e-1)"		
SCRT1	"DKFZp547F072, ZNF898"	ENSG00000261678	"Scratch family transcriptional repressor 1"	Q9BWW7	8	144330565-144336482	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	24	"brain: 79.2"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 39.8;Early spermatids: 20.8;Excitatory neurons: 10.2;Horizontal cells: 49.1;Inhibitory neurons: 13.7;Late spermatids: 36.0"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 1.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Neuroblastoma: 6.5"	"Adrenal gland - Adrenal medulla cells, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045265	Uncertain		Supported	"Nuclear bodies"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 13: Spermatids - Transcription"		"Nuclear bodies"		"HPA045265: AB_10959521"							"unprognostic (1.61e-2)"																								
SCRT2	ZNF898B	ENSG00000215397	"Scratch family transcriptional repressor 2"	Q9NQ03	20	661596-675802	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	29	"brain: 3.6;retina: 3.8"	"Cell type enriched"	"Detected in some"	15	"Horizontal cells: 42.8"	"Cell type enhanced"	"Detected in some"		"cerebellar inhibitory: 6.4"	"Cancer enriched"	"Detected in single"	5	"Glioblastoma Multiforme (TCGA): 1.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	9	"Neuroblastoma: 7.0"	"Pancreas - Alpha cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA067697			Approved	Nucleoplasm			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 37: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		Nucleoplasm		"HPA067697: AB_2685890"							"unprognostic (4.94e-2)"																								
