Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
KCNG2	"KCNF2, Kv6.2"	ENSG00000178342	"Potassium voltage-gated channel modifier subfamily G member 2"	Q9UJ96	18	79797938-79900184	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.0"	"Cell type enhanced"	"Detected in some"		"dendritic cells: 28.0;Excitatory neurons: 18.6;Horizontal cells: 27.1;Inhibitory neurons: 29.9;Oocytes: 75.0"	"Cell type enhanced"	"Detected in many"		"hippocampal CA4: 41.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in many"	4	"hippocampal formation: 24.5"	HPA048628	Enhanced						NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 29: Forebrain - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 69: Neurons - Neuronal signaling"				"HPA048628: AB_2680466"			"unprognostic (3.27e-2)"																												
KCNG3	Kv6.3	ENSG00000171126	"Potassium voltage-gated channel modifier subfamily G member 3"	Q8TAE7	2	42442017-42493982	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.0"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 15.8;Glandular and luminal cells: 10.8"	"Cell type enhanced"	"Detected in many"		"hippocampal CA4: 88.1;hippocampal dentate gyrus: 82.0;upper-layer intratelencephalic: 55.3"	"Cancer enhanced"	"Detected in some"		"Prostate Adenocarcinoma (TCGA): 1.6;Testicular Germ Cell Tumor (TCGA): 1.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Rhabdoid: 7.1"	"Lung - Alveolar cells type 2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA041625			Approved	"Cytoplasmic bodies"			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	1	"Cytoplasmic bodies"		"HPA041625: "			"unprognostic (1.29e-1)"					"unprognostic (4.22e-3)"																"unprognostic (2.33e-1)"					"unprognostic (2.36e-1)"		
KCNK4	"K2p4.1, TRAAK"	ENSG00000182450	"Potassium two pore domain channel subfamily K member 4"	Q9NYG8	11	64291302-64300031	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	55	"brain: 13.4"	"Group enriched"	"Detected in some"	5	"Astrocytes: 2.8;Excitatory neurons: 8.7;Inhibitory neurons: 2.3"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"																																			
KCNV1	Kv8.1	ENSG00000164794	"Potassium voltage-gated channel modifier subfamily V member 1"	Q6PIU1	8	109963636-109975771	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	26	"brain: 13.1"	"Cell type enriched"	"Detected in some"	10	"Excitatory neurons: 27.3"	"Cell type enhanced"	"Detected in many"		"deep-layer intratelencephalic: 42.7;upper-layer intratelencephalic: 35.0"	"Cancer enriched"	"Detected in single"	4	"Kidney Renal Papillary Cell Carcinoma (TCGA): 2.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 2.5"	"Pituitary gland - Lactotropes"	"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"cerebral cortex: 48.0"	HPA067233			Supported	"Plasma membrane,Cytokinetic bridge"			Yes	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 34: Neurons - Neuronal signaling"		"Plasma membrane, Cytokinetic bridge"		"HPA067233: "						"unprognostic (4.31e-3)"		"unprognostic (7.87e-2)"				"unprognostic (1.51e-2)"	"unprognostic (2.90e-1)"													"unprognostic (1.67e-1)"					
LCTL	"FLJ33279, KLG, KLPH"	ENSG00000188501	"Lactase like"	Q6UWM7	15	66547179-66565998	"Cancer-related genes, Predicted membrane proteins"	"Sensory transduction, Vision"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	4	"brain: 2.5"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 2.8;Cone photoreceptor cells: 3.4;Early spermatids: 4.7;Late spermatids: 10.4"	"Cell type enhanced"	"Detected in many"		"astrocyte: 4.8"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 2.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 5.6;testis cancer: 6.1"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA071640			Approved	"Endoplasmic reticulum,Plasma membrane"			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 30: White matter - Myelination"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 13: Spermatids - Transcription"		"Plasma membrane"	"Endoplasmic reticulum"	"HPA071640: AB_2686428"							"unprognostic (1.10e-3)"	"unprognostic (2.04e-3)"							"potential prognostic unfavorable (1.13e-4)"												"unprognostic (1.92e-2)"				"unprognostic (1.23e-2)"
LINC02210-CRHR1		ENSG00000263715	"LINC02210-CRHR1 readthrough"		17	45620344-45835826	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in single"	9	"brain: 2.1"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 5.9;Excitatory neurons: 33.1;Inhibitory neurons: 22.1;Oligodendrocyte precursor cells: 8.0"					"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																			NA	NA				"Cluster 61: Brain - Neuronal signaling"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"																																			
LRTM2		ENSG00000166159	"Leucine rich repeats and transmembrane domains 2"	Q8N967	12	1820267-1836753	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	10	"brain: 9.7"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 4.9;Excitatory neurons: 9.8;Horizontal cells: 21.4;Inhibitory neurons: 7.4"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	9	"Sarcoma: 4.3"	"Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA055094, HPA062745"	Uncertain		Approved	Cytosol			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		Cytosol		"HPA055094: AB_2682693, HPA062745: "			"unprognostic (1.32e-1)"																												
MAS1		ENSG00000130368	"MAS1 proto-oncogene, G protein-coupled receptor"	P04201	6	159890988-159917447	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	Proto-oncogene	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.1"	"Cell type enhanced"	"Detected in some"		"B-cells: 1.9;Cone photoreceptor cells: 1.7;Langerhans cells: 2.1;Melanocytes: 1.7"	"Cell type enhanced"	"Detected in some"		"hippocampal CA1-3: 30.6;hippocampal CA4: 21.4;hippocampal dentate gyrus: 18.2"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"hippocampal formation: 23.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Smooth muscle cells"	"Group enriched"	"Detected in many"	22	"amygdala: 38.5;basal ganglia: 26.6;cerebral cortex: 32.4;hippocampal formation: 64.6;white matter: 18.1"	"Group enriched"	"Detected in some"	7	"amygdala: 7.9;cerebral cortex: 12.8;hippocampal formation: 25.7"	HPA079325	Uncertain						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 29: Forebrain - Mixed function"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 53: Fibroblasts - ECM organization"	3			"HPA079325: "																															
MC3R	MC3	ENSG00000124089	"Melanocortin 3 receptor"	P41968	20	56248732-56249815	"G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"	"Biological rhythms"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	12	"brain: 1.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Region enriched"	"Detected in many"	10	"hypothalamus: 31.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Group enriched"	"Detected in some"	5	"basal ganglia: 4.8;hypothalamus: 4.5;thalamus: 1.3"	"Group enriched"	"Detected in some"	5	"basal ganglia: 4.2;hypothalamus: 2.8;thalamus: 3.3"	HPA074739	Uncertain						NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 21: Early spermatids - Spermatogenesis"				"HPA074739: "																															
MEPE		ENSG00000152595	"Matrix extracellular phosphoglycoprotein"	Q9NQ76	4	87821398-87846814	"Predicted intracellular proteins, Predicted secreted proteins"	Biomineralization			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	46	"brain: 4.6"	"Cell type enriched"	"Detected in single"	18	"Inhibitory neurons: 12.3"	"Group enriched"	"Detected in some"	4	"amygdala excitatory: 5.3;MGE interneuron: 19.9"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"amygdala: 15.8;cerebral cortex: 55.6;hypothalamus: 17.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"amygdala: 1.0"	"HPA038003, HPA038004"	Uncertain				"Secreted to extracellular matrix"	Other	NA	NA		1500000		"Cluster 61: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 8: Neurons - Neuronal signaling"	3			"HPA038003: AB_2675780, HPA038004: AB_10670537"			"unprognostic (3.42e-1)"					"unprognostic (1.83e-1)"																							
MESP2	"bHLHc6, SCDO2"	ENSG00000188095	"Mesoderm posterior bHLH transcription factor 2"	Q0VG99	15	89760591-89778754	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Notch signaling pathway, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	Dwarfism	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in single"			"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 3.8;Cone photoreceptor cells: 11.9;Mucus glandular cells: 4.5;Prostatic glandular cells: 4.5;Rod photoreceptor cells: 4.7"	"Low cell type specificity"	"Detected in some"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 24: Neurons - Mixed function"	"Cluster 4: Non-specific - Transcription"	"Cluster 66: Photoreceptor cells - Visual perception"					"unprognostic (2.25e-1)"	"unprognostic (3.96e-2)"	"unprognostic (1.08e-1)"	"unprognostic (2.33e-1)"									"unprognostic (2.67e-2)"	"unprognostic (1.51e-3)"		"unprognostic (6.92e-2)"		"unprognostic (1.58e-1)"		"unprognostic (7.74e-2)"	"unprognostic (3.30e-1)"			"unprognostic (2.77e-1)"				"unprognostic (2.87e-1)"			"unprognostic (8.58e-2)"
MINDY4B	"C3orf76, FAM188B2"	ENSG00000214237	"MINDY family member 4B"	A8MYZ0	3	150870376-150905439	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in single"		"brain: 1.8"	"Group enriched"	"Detected in some"	26	"Horizontal cells: 1.3;Langerhans cells: 2.8;Muller glia cells: 3.9"	"Cell type enriched"	"Detected in single"	4	"medium spiny neuron: 2.5"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	4	"basal ganglia: 3.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Spleen - Neutrophils"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"										NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 33: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 10: Muller glia cells - Visual perception"																																			
NEUROD2	"bHLHa1, NDRF"	ENSG00000171532	"Neuronal differentiation 2"	Q15784	17	39603536-39609777	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	82	"brain: 64.9"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 7.7;Enteroendocrine cells: 5.0;Erythroid cells: 3.5;Excitatory neurons: 14.4;Horizontal cells: 14.5;Mucus glandular cells: 5.0"	"Cell type enhanced"	"Detected in many"		"upper rhombic lip: 59.8"	"Cancer enhanced"	"Detected in some"		"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 3.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"lung cancer: 1.2"		"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in all"	11	"amygdala: 28.7;cerebellum: 96.3;cerebral cortex: 52.8;hippocampal formation: 103.6"								NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 37: Neurons - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 10: Muller glia cells - Visual perception"	1							"unprognostic (1.19e-1)"			"unprognostic (3.20e-2)"																					"unprognostic (2.41e-1)"			"unprognostic (2.86e-1)"
NEUROD6	"Atoh2, bHLHa2, Math-2, Nex1, NEX1M"	ENSG00000164600	"Neuronal differentiation 6"	Q96NK8	7	31337465-31340726	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	128	"brain: 38.0"	"Cell type enriched"	"Detected in some"	10	"Excitatory neurons: 19.7"	"Cell type enhanced"	"Detected in many"		"hippocampal CA4: 180.7;miscellaneous: 71.6"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"basal ganglia: 20.0;cerebral cortex: 22.3;hippocampal formation: 51.2;white matter: 13.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	27	"Bone cancer: 17.2"		"Region enhanced"	"Detected in all"		"hippocampal formation: 225.2"	"Group enriched"	"Detected in many"	9	"cerebral cortex: 27.4;hippocampal formation: 106.8"	HPA074530	Enhanced						NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 10: Muller glia cells - Visual perception"				"HPA074530: AB_2732257"								"unprognostic (1.84e-1)"																							
NHLH1	"bHLHa35, HEN1, NSCL, NSCL1"	ENSG00000171786	"Nescient helix-loop-helix 1"	Q02575	1	160367071-160372846	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.8"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 8.1;Excitatory neurons: 21.7;Inhibitory neurons: 17.9;Microglial cells: 8.9;Oligodendrocyte precursor cells: 15.6;Oligodendrocytes: 45.2"	"Low cell type specificity"	"Detected in some"			"Group enriched"	"Detected in some"	5	"Bladder Urothelial Carcinoma (TCGA): 1.7;Glioblastoma Multiforme (TCGA): 3.8;Testicular Germ Cell Tumor (TCGA): 1.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 3.8"		"Region enhanced"	"Detected in single"		"hippocampal formation: 1.0"	"Region enriched"	"Detected in some"	13	"cerebellum: 25.8"	HPA017943			Approved	"Golgi apparatus"			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 51: Oligodendrocytes - Unknown function"	9	"Golgi apparatus"		"HPA017943: AB_2732421"	"unprognostic (2.94e-3)"		"unprognostic (1.18e-2)"				"unprognostic (1.40e-1)"	"unprognostic (1.34e-2)"																					"unprognostic (2.12e-1)"		
OPRD1		ENSG00000116329	"Opioid receptor delta 1"	P41143	1	28812170-28871267	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.8"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 11.4;Inhibitory neurons: 15.2"	"Cell type enhanced"	"Detected in many"		"MGE interneuron: 72.6"	"Cancer enhanced"	"Detected in single"		"Skin Cuteneous Melanoma (TCGA): 2.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 7.1;skin cancer: 4.4"	"Colon - Colon enteroendocrine cells, Kidney - Proximal tubular cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA070831	Approved						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 24: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 8: Neurons - Neuronal signaling"	13			"HPA070831: AB_2732167"			"unprognostic (3.13e-1)"			"unprognostic (1.53e-1)"		"potential prognostic favorable (2.59e-4)"																		"unprognostic (2.22e-2)"	"unprognostic (5.15e-2)"				
OR14I1	"OR5BU1, OR5BU1P"	ENSG00000189181	"Olfactory receptor family 14 subfamily I member 1"	A6ND48	1	248681322-248682328	"G-protein coupled receptors, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	9	"brain: 2.0"	"Cell type enriched"	"Detected in single"	30	"Excitatory neurons: 28.7"	"Cell type enhanced"	"Detected in some"		"deep-layer intratelencephalic: 5.2;upper-layer intratelencephalic: 7.8"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"amygdala: 3.3;basal ganglia: 2.6;cerebral cortex: 4.7;hippocampal formation: 2.7;white matter: 4.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 34: Neurons - Neuronal signaling"	1																																		
OR1F1	"Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OR1F10, OR1F13P, OR1F4, OR1F5, OR1F6, OR1F7, OR1F8, OR1F9, OR3-145"	ENSG00000168124	"Olfactory receptor family 1 subfamily F member 1"	O43749	16	3188204-3224779	"G-protein coupled receptors, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	5	"brain: 3.3"	"Group enriched"	"Detected in some"	21	"Early spermatids: 3.3;Excitatory neurons: 1.3;Inhibitory neurons: 1.2;Late spermatids: 3.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 37: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"																																			
